SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalPrice,ProductName,ProductGroupID,Price,Description,StockQuantity,FirstName,LastName,Email,Phone,Address,City,State,Country,ZipCode
1,69,4,2023-07-05,15,5696.55,Mr,6,370.16,Like factor major edge region wind operation. Woman each miss challenge camera.,439,julian,johnson,tcurry@smith.com,001-571-675-8311x053,"05763 Dylan Mall Suite 133
Port Laurenside, RI 48633",Port Paulfort,Alabama,British Virgin Islands,85868
2,114,35,2024-01-28,13,1285.2,lay,3,786.15,Man statement drive knowledge arm. Girl story bad human. According bring often international.,961,elizabeth,baker,banksmark@yahoo.com,(466)803-9372x7292,"Unit 5045 Box 8102
DPO AP 91854",East Jamestown,Kansas,United States of America,74152
3,37,35,2023-07-10,11,9708.37,lay,3,786.15,Man statement drive knowledge arm. Girl story bad human. According bring often international.,961,kristy,durham,trobinson@yahoo.com,588-872-1340,"613 Smith Cliff
Prattland, NY 72162",East Christopherhaven,New Mexico,Finland,89217
4,90,21,2023-10-13,14,3643.5,tough,4,164.4,Magazine consumer whole thing office. Four white list open direction message friend amount.,151,jerry,mitchell,michelle70@gmail.com,795-073-4452x637,"9403 Young Ports Suite 576
New Jasonhaven, NE 73073",Lake John,Massachusetts,Guernsey,40166
5,99,49,2023-12-01,10,4035.75,beautiful,10,986.38,Hour his north. Of often risk avoid every party.,37,anthony,gonzalez,sdavis@yahoo.com,944.351.7592x3257,"26979 Pham Radial
Mollychester, DC 93773",Maryton,Arizona,Jersey,21998
6,119,7,2023-12-02,9,5410.19,wind,8,552.17,Bit visit describe stop hit open. Lose successful contain animal night simple third free.,453,troy,lewis,mackenzie71@stewart.com,(339)515-6246x67010,"7585 Kari Key
East Shannon, NV 16440",West Jenniferland,Michigan,Mozambique,77368
7,6,23,2023-06-18,17,9920.91,force,3,775.61,Power understand trade detail term recognize employee. Within step film like father could.,537,traci,murphy,baileymichelle@holmes-lowery.org,(964)452-1714x385,"9237 Phillip Creek Suite 317
Lake Ericland, KS 07139",Darylville,New Mexico,Cyprus,50064
8,53,15,2023-09-04,5,3983.4,person,4,351.77,Agent ball eight. Across interest close so practice interest because.,418,scott,ware,timothy20@goodman.com,(046)220-6026x8824,"46238 Chavez Garden Apt. 323
Frazierburgh, NY 19092",Lake Nicole,Pennsylvania,Christmas Island,26342
9,54,45,2024-05-09,4,6245.48,finally,3,533.97,Break character raise list. Gun top crime cover reach reduce expect name.,239,kenneth,williams,chad97@yahoo.com,352.031.9283,"74196 Melissa Drives
New Jacob, TN 34806",Griffinhaven,New York,Paraguay,23562
10,12,18,2024-02-24,1,8396.12,plant,7,919.64,"Glass reason join body perhaps.
Example pay stay technology.",99,miguel,coffey,wendymata@jordan-parks.net,808.325.3453x6098,"52870 Michael Greens
Lake Anthonyton, IL 98492",Forbesland,Utah,Tunisia,12289
11,27,10,2024-05-25,8,8389.94,share,6,683.89,She entire light magazine court mission significant. Quality share never expect.,20,sara,woods,flawson@young.biz,373-222-3898x389,"50733 Tommy View Apt. 310
Melindaside, KS 25157",Sandraport,Iowa,Guinea,47135
